DESeq2/LimmaVoom/EdgeR,DESeq2/EdgeR,DESeq2/LimmaVoom,EdgeR/LimmaVoom,DESeq2,LimmaVoom,EdgeR
AC005301.9,RPL7AP50,RNU6-920P,RPL18AP3,RP11-720N19.2,AC111200.7,EEF1A1P13
RP11-385D13.3,FOXP1-IT1,KCNQ1OT1,RP11-533E19.7,RP11-707O23.5,RP4-622L5.7,AC016292.3
RPL13AP5,RP1-278E11.3,,RP11-127B20.3,AC009120.3,AC079250.1,PCAT1
ANKRD44-IT1,EEF1A1P9,,AC062017.1,CEP170P1,RP11-110J1.2,HELLPAR
MTATP6P1,RPS7P1,,,RNU6-60P,RP11-471B22.2,BCLAF1P2
HCG4P11,RPS3AP6,,,SUDS3P1,RP11-489E7.4,RP11-157G21.2
RPSAP58,AC007272.3,,,PSMA6P1,RP5-827C21.4,RPL9P7
RP11-181E10.3,RP11-91P24.6,,,RNU4-62P,DDX50P1,CTD-2270P14.5
SNHG8,CTB-152G17.6,,,SERBP1P1,TMEM191A,CH507-528H12.1
SNORA11,RNU6-1003P,,,AP000692.9,RP1-40E16.12,RPL9P9
RNU6-238P,RPL41P5,,,RP11-77K12.3,RP13-270P17.1,
RP11-152N13.16,AC092620.2,,,FAM45BP,RP11-59C5.3,
FAM207BP,RP11-764D10.2,,,AC007566.10,RP1-198K11.5,
MTND2P28,RASA2-IT1,,,UBE2MP1,RP11-290D2.6,
RP11-778D9.4,RNU6-1016P,,,AC136289.1,RP11-927P21.4,
CTD-3001H11.2,CTB-79E8.3,,,AC011551.3,RP5-867C24.4,
RC3H1-IT1,RN7SL5P,,,ISCA1P1,,
NAMPTP1,RP5-1024G6.2,,,CTB-113I20.2,,
RN7SL521P,RPL13AP25,,,CCDC144CP,,
Metazoa_SRP,AP000240.9,,,RP11-91P24.1,,
UQCRFS1P1,RP11-732A19.1,,,RN7SL336P,,
,GCSHP5,,,CTA-941F9.10,,
,RPL26P19,,,RNU6-817P,,
,CTC-236F12.4,,,RPSAP36,,
,Y_RNA,,,MSC-AS1,,
,RP11-419I17.1,,,MYL12BP1,,
,RPL11P3,,,RP11-392O17.2,,
,RP11-318K15.2,,,CTD-2293H3.1,,
,AC005776.1,,,RP11-573D15.8,,
,PHBP19,,,RN7SL364P,,
,RP11-44N11.1,,,MIR635,,
,AC017035.2,,,NME2P1,,
,RP11-108M9.4,,,RP11-46I8.1,,
,RP11-1275H24.2,,,RNU7-181P,,
,MIR548P,,,RP11-61L19.1,,
,CTD-2031P19.4,,,RP11-79L9.2,,
,RPS3AP26,,,RP3-522P13.2,,
,HSPA8P15,,,RPL7AP66,,
,RPL21P123,,,PIPSL,,
,RPS7P11,,,SNORA60,,
,RPL7P1,,,GS1-44D20.1,,
,RPS13P2,,,RP1-232L22__B.1,,
,,,,RP11-50D9.1,,
,,,,RPL39P36,,
,,,,RPS3AP5,,
,,,,DDX10P1,,
,,,,RP11-90B9.2,,
,,,,HMGN1P15,,
,,,,RNU6-1176P,,
,,,,RP11-104L21.2,,
,,,,RP11-383G6.3,,
,,,,RNU6-407P,,
,,,,RP3-375P9.2,,
,,,,SMG1P4,,
,,,,MEG3,,
,,,,CTC-265F19.2,,
,,,,CTD-2165H16.3,,
,,,,RP11-373D23.3,,
,,,,RP11-460I13.6,,
,,,,RP1-228H13.5,,
,,,,RP11-139H15.7,,
,,,,RP11-420C9.1,,
,,,,RPS3AP34,,
,,,,HSP90AB4P,,
,,,,RNU6-611P,,
,,,,BMS1P1,,
,,,,RNU6-1010P,,
,,,,HMGN2P4,,
,,,,RN7SL47P,,
,,,,FAM204BP,,
,,,,RP11-14I17.2,,
,,,,RP11-346C20.3,,
,,,,CPHL1P,,
,,,,RP11-562A8.1,,
